x,TP,FP,FN,TN,chisq,phi
1,41,713,15,836,16.03463663,0.099952128
2,34,498,22,1051,19.90016764,0.111350161
3,28,355,28,1194,21.81753074,0.116591068
4,24,267,32,1282,23.89965845,0.122027673
5,18,197,38,1352,17.57851331,0.104653451
6,17,164,39,1385,21.11176916,0.1146898
7,15,134,41,1415,21.10574131,0.114673426
8,13,115,43,1434,18.36098765,0.106957317
9,11,92,45,1457,16.89946516,0.102612191
10,11,81,45,1468,20.77960553,0.113783983
11,10,68,46,1481,21.20002417,0.114929273
12,9,57,47,1492,21.04694966,0.114513599
13,6,47,50,1502,9.983372186,0.078868052
14,6,43,50,1506,11.50704883,0.084672905
15,6,37,50,1512,14.36815734,0.094615659
16,4,31,52,1518,6.697883859,0.064599817
17,4,25,52,1524,9.311930582,0.076169718
18,4,23,52,1526,10.4610177,0.080732695
19,4,19,52,1530,13.39289834,0.091348152
20,3,14,53,1535,10.22787917,0.079828005
