x,TP,FP,FN,TN,chisq,phi,,,,,
1,46,384,10,1165,90.63906982,0.23764036,,,,,
2,46,378,10,1171,92.69419477,0.240319355,,,,,
3,46,372,10,1177,94.80881695,0.243045086,,,,,
4,46,362,10,1187,98.47251177,0.247696568,,,,,
5,46,357,10,1192,100.3730615,0.250075455,,,,,
6,46,347,10,1202,104.3202842,0.254945213,,,,,
7,46,342,10,1207,106.3707147,0.257438514,,,,,
8,46,337,10,1212,108.4750264,0.259972472,,,,,
9,46,333,10,1216,110.1987005,0.26202982,,,,,
10,45,330,11,1219,105.259947,0.256090846,,,,,
11,44,326,12,1223,100.8249468,0.25063775,,,,,
12,44,319,12,1230,103.8018718,0.254310958,,,,,
13,44,315,12,1234,105.5555347,0.256450167,,,,,
14,44,313,12,1236,106.4472224,0.25753108,,,,,
15,44,307,12,1242,109.1837366,0.260820341,,,,,
16,44,305,12,1244,110.1169775,0.261932642,,,,,
17,44,300,12,1249,112.4979072,0.264749229,,,,,
18,44,294,12,1255,115.4486737,0.268198877,,,,,
19,44,288,12,1261,118.5068264,0.271727858,,,,,
20,44,286,12,1263,119.5510847,0.272922438,,,,,
21,44,282,12,1267,121.6782839,0.275339817,,,,,
22,44,280,12,1269,122.7617014,0.276562907,,,,,
23,44,276,12,1273,124.9694091,0.279038636,,,,,
24,44,270,12,1279,128.3870516,0.282828451,,,,,
25,44,267,12,1282,130.1456019,0.28475885,,,,,
26,44,266,12,1283,130.7393899,0.285407715,,,,,
27,44,264,12,1285,131.9385947,0.286713676,,,,,
28,42,261,14,1288,119.3346531,0.272675281,,,,,
29,42,254,14,1295,123.3993305,0.277280216,,,,,
30,42,252,14,1297,124.596474,0.27862197,,,,,
31,42,248,14,1301,127.0406407,0.281341513,,,,,
32,42,246,14,1303,128.2883555,0.282719719,,,,,
33,42,245,14,1304,128.9187768,0.283413524,,,,,
34,42,244,14,1305,129.5536352,0.284110499,,,,,
35,41,241,15,1308,124.048767,0.278008905,,,,,
36,39,238,17,1311,111.5028587,0.263575769,,,,,
37,39,234,17,1315,113.8726784,0.266361989,,,,,
38,39,229,17,1320,116.9354104,0.269920272,,,,,
39,39,227,17,1322,118.1930464,0.271367882,,,,,
40,39,224,17,1325,120.1156917,0.273566148,,,,,
41,39,220,17,1329,122.749119,0.276548733,,,,,
42,39,215,17,1334,126.1585411,0.280363072,,,,,
43,39,212,17,1337,128.2699294,0.282699415,,,,,
44,38,210,18,1339,121.9783515,0.275679112,,,,,
45,38,208,18,1341,123.3737085,0.277251428,,,,,
46,38,203,18,1346,126.9643153,0.281256986,,,,,
47,38,201,18,1348,128.4429809,0.282890048,,,,,
48,38,199,18,1350,129.9468075,0.284541285,,,,,
49,37,194,19,1355,125.7736361,0.279935057,,,,,
50,37,188,19,1361,130.4329315,0.285073015,,,,,
51,37,186,19,1363,132.0422176,0.286826244,,,,,
52,37,184,19,1365,133.680867,0.288600519,,,,,
53,37,181,19,1368,136.195663,0.291302439,,,,,
54,37,180,19,1369,137.0494993,0.292214127,,,,,
55,36,176,20,1373,132.0460337,0.286830389,,,,,
56,36,174,20,1375,133.7627899,0.288688937,,,,,
57,35,172,21,1377,127.0856905,0.281391392,,,,,
58,35,169,21,1380,129.6500767,0.284216228,,,,,
59,35,165,21,1384,133.1899991,0.288070171,,,,,
60,34,164,22,1385,125.5727276,0.279711386,,,,,
61,34,163,22,1386,126.4455824,0.280681838,,,,,
62,34,162,22,1387,127.3274282,0.281658891,,,,,
63,34,160,22,1389,129.1186484,0.283633136,,,,,
64,34,158,22,1391,130.9475277,0.28563481,,,,,
65,34,157,22,1392,131.8764589,0.286646155,,,,,
66,34,155,22,1394,133.7640699,0.288690318,,,,,
67,34,152,22,1397,136.6722546,0.291811673,,,,,
68,34,151,22,1398,137.6627843,0.292867214,,,,,
69,33,151,23,1398,128.7910707,0.283273115,,,,,
70,33,150,23,1399,129.7437348,0.284318867,,,,,
71,33,146,23,1403,133.6618117,0.28857995,,,,,
72,33,145,23,1404,134.6690903,0.289665281,,,,,
73,33,144,23,1405,135.6878486,0.290758862,,,,,
74,33,141,23,1408,138.814979,0.294090264,,,,,
75,33,139,23,1410,140.9608365,0.296354629,,,,,
76,33,138,23,1411,142.052739,0.297500218,,,,,
77,32,136,24,1413,134.8884866,0.28990114,,,,,
78,32,136,24,1413,134.8884866,0.28990114,,,,,
79,32,134,24,1415,137.0527795,0.292217624,,,,,
80,32,132,24,1417,139.2703094,0.294572196,,,,,
81,32,130,24,1419,141.5430462,0.296966015,,,,,
82,30,128,26,1421,125.008423,0.279082188,,,,,
83,30,127,26,1422,126.07629,0.280271664,,,,,
84,30,125,26,1424,128.2537713,0.282681608,,,,,
85,30,124,26,1425,129.3639272,0.283902409,,,,,
86,30,124,26,1425,129.3639272,0.283902409,,,,,
87,29,122,27,1427,122.2625303,0.276000057,,,,,
88,29,120,27,1429,124.4621824,0.278471778,,,,,
89,29,118,27,1431,126.7223017,0.280988799,,,,,
90,28,117,28,1432,118.4901645,0.271708755,,,,,
91,28,117,28,1432,118.4901645,0.271708755,,,,,
92,28,116,28,1433,119.5943042,0.272971766,,,,,
93,27,114,29,1435,112.5740576,0.264838818,,,,,
94,27,114,29,1435,112.5740576,0.264838818,,,,,
95,27,113,29,1436,113.6591209,0.266112104,,,,,
96,26,108,30,1441,109.9589067,0.261744574,,,,,
97,26,107,30,1442,111.0729847,0.2630672,,,,,
98,26,107,30,1442,111.0729847,0.2630672,,,,,
99,26,106,30,1443,112.2041465,0.264403339,,,,,
100,26,104,30,1445,114.5192966,0.267117178,,,,,
