My Posts
x,TP,FP,FN,TN,chisq,phi,,,,,
1,54,1166,2,383,13.26438653,0.09090883,,,,,
2,47,995,9,554,9.204236304,0.075727978,,,,,
3,47,909,9,640,14.30149933,0.094395929,,,,,
4,46,734,10,815,26.13735724,0.12761253,,,,,
5,42,608,14,941,28.66304967,0.133636065,,,,,
6,42,545,14,1004,36.93550855,0.151699631,,,,,
7,41,478,15,1071,44.31393884,0.166162363,,,,,
8,39,444,17,1105,43.142123,0.163950686,,,,,
9,39,390,17,1159,54.56231334,0.184377902,,,,,
10,36,351,20,1198,51.17810562,0.178568391,,,,,
11,34,321,22,1228,50.17713097,0.176813489,,,,,
12,32,293,24,1256,48.9070317,0.174561367,,,,,
13,31,276,25,1273,49.23470527,0.175145165,,,,,
14,27,251,29,1298,38.67032248,0.155221322,,,,,
15,27,235,29,1314,43.20177347,0.16406399,,,,,
16,27,217,29,1332,49.0514678,0.174818941,,,,,
17,25,202,31,1347,44.45019283,0.16641762,,,,,
18,24,189,32,1360,44.12845856,0.165814254,,,,,
19,24,180,32,1369,47.53107717,0.172088286,,,,,
20,24,171,32,1378,51.26252948,0.178715614,,,,,
