Product Group Viewed
x,TP,FP,FN,TN,chisq,phi,,,,,
1,27,410,29,1139,12.89831092,0.089645584,,,,,
2,14,251,42,1298,3.033430126,0.043473988,,,,,
3,12,159,44,1390,7.07619662,0.066399136,,,,,
4,11,123,45,1426,9.672434032,0.07763014,,,,,
5,7,103,49,1446,2.897836026,0.042491238,,,,,
6,6,76,50,1473,3.760435661,0.048404035,,,,,
7,6,59,50,1490,6.632162509,0.064282101,,,,,
8,5,48,51,1501,5.752464043,0.059867268,,,,,
9,4,39,52,1510,4.434125241,0.052561344,,,,,
10,4,32,52,1517,6.353379073,0.062916545,,,,,
11,4,26,52,1523,8.798131777,0.074038517,,,,,
12,3,26,53,1523,4.12225629,0.050679226,,,,,
13,3,23,53,1526,5.085107304,0.056287575,,,,,
14,3,20,53,1529,6.325752505,0.062779605,,,,,
