x,TP,FP,FN,TN,chisq,phi,,,,,
1,47,357,9,1192,106.3555118,0.257420116,,,,,
2,47,323,9,1226,121.2215178,0.274822534,,,,,
3,46,299,10,1250,126.4731443,0.280712427,,,,,
4,46,283,10,1266,135.3015011,0.290344624,,,,,
5,46,261,10,1288,148.9492574,0.304636301,,,,,
6,43,234,13,1315,143.9839277,0.299515629,,,,,
7,41,211,15,1338,145.010927,0.300581914,,,,,
8,40,194,16,1355,150.5761144,0.306295435,,,,,
9,39,185,17,1364,149.8371186,0.305542894,,,,,
10,38,166,18,1383,159.0504984,0.314796575,,,,,
11,36,150,20,1399,157.2667809,0.31302641,,,,,
12,36,144,20,1405,164.1288704,0.319782705,,,,,
13,35,133,21,1416,167.6287728,0.323174261,,,,,
14,34,124,22,1425,169.1844378,0.324670394,,,,,
15,34,118,22,1431,177.7200966,0.332759721,,,,,
16,32,104,24,1445,177.2196496,0.332290877,,,,,
17,31,98,25,1451,175.7805068,0.330938914,,,,,
18,30,92,26,1457,174.5875188,0.329813993,,,,,
19,30,84,26,1465,189.8885882,0.343963147,,,,,
20,29,82,27,1467,181.466692,0.336248955,,,,,
21,27,77,29,1472,166.7780319,0.322353139,,,,,
22,26,74,30,1475,160.4852101,0.316213196,,,,,
23,26,70,30,1479,168.8027529,0.324303954,,,,,
24,26,67,30,1482,175.5132695,0.330687257,,,,,
25,26,62,30,1487,187.7198424,0.34199328,,,,,
26,24,55,32,1494,178.4271061,0.33342096,,,,,
27,20,50,36,1499,136.7449037,0.29188922,,,,,
28,16,47,40,1502,93.46231936,0.241313022,,,,,
29,15,41,41,1508,93.52075861,0.241388453,,,,,
30,15,40,41,1509,95.66938062,0.244145634,,,,,
31,15,40,41,1509,95.66938062,0.244145634,,,,,
32,15,37,41,1512,102.6160413,0.252854164,,,,,
33,13,36,43,1513,79.68824091,0.222822787,,,,,
34,13,34,43,1515,84.00140395,0.22877352,,,,,
35,11,32,45,1517,64.04052852,0.199751448,,,,,
36,11,32,45,1517,64.04052852,0.199751448,,,,,
37,11,29,45,1520,70.23414775,0.209187939,,,,,
38,11,26,45,1523,77.44438778,0.219663276,,,,,
39,10,25,46,1524,66.84822521,0.204083278,,,,,
40,10,22,46,1527,74.72640886,0.215774211,,,,,
41,10,20,46,1529,80.86252816,0.224458543,,,,,
42,10,19,46,1530,84.25064543,0.229112667,,,,,
43,10,19,46,1530,84.25064543,0.229112667,,,,,
44,9,17,47,1532,76.03815098,0.217659815,,,,,
45,9,15,47,1534,83.69535843,0.22835639,,,,,
46,7,14,49,1535,56.28215739,0.187261221,,,,,
47,7,14,49,1535,56.28215739,0.187261221,,,,,
48,3,13,53,1536,11.17743722,0.083451395,,,,,
49,3,13,53,1536,11.17743722,0.083451395,,,,,
50,3,11,53,1538,13.49779951,0.091705201,,,,,
51,2,9,54,1540,7.100591582,0.066513492,,,,,
52,2,9,54,1540,7.100591582,0.066513492,,,,,
53,2,9,54,1540,7.100591582,0.066513492,,,,,
54,2,9,54,1540,7.100591582,0.066513492,,,,,
55,2,8,54,1541,8.146417289,0.071243592,,,,,
56,2,7,54,1542,9.432260358,0.076660275,,,,,
57,2,7,54,1542,9.432260358,0.076660275,,,,,
58,2,7,54,1542,9.432260358,0.076660275,,,,,
59,2,6,54,1543,11.04811121,0.082967213,,,,,
60,2,6,54,1543,11.04811121,0.082967213,,,,,
61,2,5,54,1544,13.13538343,0.090465681,,,,,
62,2,4,54,1545,15.92976634,0.099624736,,,,,
63,2,4,54,1545,15.92976634,0.099624736,,,,,
64,2,4,54,1545,15.92976634,0.099624736,,,,,
65,2,4,54,1545,15.92976634,0.099624736,,,,,
66,2,4,54,1545,15.92976634,0.099624736,,,,,
67,1,3,55,1546,5.510254094,0.058593345,,,,,
68,1,3,55,1546,5.510254094,0.058593345,,,,,
69,1,3,55,1546,5.510254094,0.058593345,,,,,
70,1,3,55,1546,5.510254094,0.058593345,,,,,
71,1,3,55,1546,5.510254094,0.058593345,,,,,
72,1,3,55,1546,5.510254094,0.058593345,,,,,
73,1,3,55,1546,5.510254094,0.058593345,,,,,
74,1,3,55,1546,5.510254094,0.058593345,,,,,
75,1,3,55,1546,5.510254094,0.058593345,,,,,
76,1,3,55,1546,5.510254094,0.058593345,,,,,
77,1,3,55,1546,5.510254094,0.058593345,,,,,
78,1,3,55,1546,5.510254094,0.058593345,,,,,
79,1,3,55,1546,5.510254094,0.058593345,,,,,
80,1,3,55,1546,5.510254094,0.058593345,,,,,
81,1,2,55,1547,7.949967656,0.070379336,,,,,
82,1,2,55,1547,7.949967656,0.070379336,,,,,
83,1,2,55,1547,7.949967656,0.070379336,,,,,
84,1,2,55,1547,7.949967656,0.070379336,,,,,
85,1,2,55,1547,7.949967656,0.070379336,,,,,
86,1,2,55,1547,7.949967656,0.070379336,,,,,
87,1,1,55,1548,12.86446381,0.089527885,,,,,
88,1,1,55,1548,12.86446381,0.089527885,,,,,
89,1,1,55,1548,12.86446381,0.089527885,,,,,
90,1,1,55,1548,12.86446381,0.089527885,,,,,
91,1,1,55,1548,12.86446381,0.089527885,,,,,
