Set Post Status
x,TP,FP,FN,TN,chisq,phi,TP_rate,FP_rate,FN_rate,TN_rate,total
1,38,209,18,1340,122.6731804,0.276463177,0.023676012,0.130218069,0.011214953,0.834890966,1605
2,24,102,32,1447,98.29348645,0.247471307,0.014953271,0.063551402,0.019937695,0.901557632,1605
3,19,70,37,1479,89.24858711,0.235810509,0.011838006,0.043613707,0.02305296,0.921495327,1605
4,10,33,46,1516,51.26750675,0.17872429,0.00623053,0.020560748,0.028660436,0.944548287,1605
5,8,16,48,1533,64.4445196,0.20038051,0.004984424,0.009968847,0.029906542,0.955140187,1605
6,6,11,50,1538,51.61494443,0.179328871,0.003738318,0.006853583,0.031152648,0.958255452,1605
7,4,6,52,1543,39.83548752,0.157542434,0.002492212,0.003738318,0.032398754,0.961370717,1605
8,4,5,52,1544,45.08338598,0.167598738,0.002492212,0.003115265,0.032398754,0.961993769,1605
9,4,4,52,1545,51.65118467,0.179391816,0.002492212,0.002492212,0.032398754,0.962616822,1605
10,4,2,52,1547,71.38620398,0.210896623,0.002492212,0.001246106,0.032398754,0.963862928,1605
11,4,1,52,1548,87.19314592,0.233079273,0.002492212,0.000623053,0.032398754,0.964485981,1605
12,4,1,52,1548,87.19314592,0.233079273,0.002492212,0.000623053,0.032398754,0.964485981,1605
13,1,1,55,1548,12.86446381,0.089527885,0.000623053,0.000623053,0.034267913,0.964485981,1605
14,1,1,55,1548,12.86446381,0.089527885,0.000623053,0.000623053,0.034267913,0.964485981,1605
15,1,1,55,1548,12.86446381,0.089527885,0.000623053,0.000623053,0.034267913,0.964485981,1605
